gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,1,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,5.0806,sol2,0.0,0.72,725.28
gfx950,256,2,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,5.245,sol2,0.0,1.4,705.38
gfx950,256,4,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,5.6692,auto,0.0,2.59,657.84
gfx950,256,8,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4480,8,5.8706,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0273,5.0,645.39
gfx950,256,16,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4935,8,6.1287,flydsl_gemm7_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0232,9.58,637.59
gfx950,256,24,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2993,8,6.3235,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0223,13.93,636.73
gfx950,256,32,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2993,8,6.3262,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0206,18.56,655.24
gfx950,256,40,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4582,8,6.4066,flydsl_gemm6_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0213,22.91,665.55
gfx950,256,48,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2993,8,6.5132,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0216,27.05,672.9
gfx950,256,56,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3984,8,6.8174,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0271,30.15,660.3
gfx950,256,64,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4108,8,7.1026,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0208,33.07,650.51
gfx950,256,72,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6660,8,6.9485,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0218,38.03,682.03
gfx950,256,80,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5880,8,7.0326,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0216,41.75,690.76
gfx950,256,88,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4108,8,7.1294,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.022,45.3,698.04
gfx950,256,96,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6660,8,7.2628,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0214,48.51,701.58
gfx950,256,104,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4108,8,7.1986,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.021,53.02,724.34
gfx950,256,112,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6660,8,7.309,flydsl_gemm8_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0228,56.24,729.65
gfx950,256,120,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5194,8,7.5055,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0296,58.68,726.37
gfx950,256,128,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4563,8,7.5772,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0233,62.0,735.17
gfx950,256,136,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,6416,7,7.7174,flydsl_gemm6_abf16_wbf16_bf16_t16x64x128_split_k7_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0283,64.67,737.21
gfx950,256,144,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5732,7,7.81,flydsl_gemm5_abf16_wbf16_bf16_t16x64x128_split_k7_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0206,67.67,743.68
gfx950,256,152,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4877,8,8.0899,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0219,68.96,732.63
gfx950,256,160,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4880,8,8.2034,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0213,71.58,736.97
gfx950,256,168,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4877,8,8.3283,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k8_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.022,74.03,740.18
