gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,32768,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1979.9002,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_bnt0_fp4,0.8%,1788.3381,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist_async_w4_cumul3,2.5%,3768.2383,0,0,0,2626.06,747.98,sqn12
gfx950,256,16384,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,1042.9526,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_bnt0_fp4,0.8%,910.9753,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist_async_w4_cumul3,2.5%,1953.9279,0,0,0,2532.23,1339.48,sqn12
gfx950,256,8192,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,587.1956,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_bnt0_fp4,0.8%,482.9888,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_persist_async_w4_cumul3,2.5%,1070.1844,0,0,0,2311.66,2351.54,sqn12
gfx950,256,512,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,141.5206,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_fp4,0.8%,89.3264,flydsl_moe2_afp4_wfp4_bf16_t64x256x256_atomic_persist,2.5%,230.847,0,0,0,669.79,10492.71,sqn12
gfx950,256,32768,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,12151.6116,_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x512E,1.1%,0.0,,0.0%,12151.6116,1,0,0,814.35,231.95,sqn12
gfx950,256,16384,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,6393.6805,_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x384E,0.0%,0.0,,0.0%,6393.6805,1,0,0,773.86,409.35,sqn12
gfx950,256,8192,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,3268.2245,_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x384E,0.0%,0.0,,0.0%,3268.2245,1,0,0,756.96,770.02,sqn12
gfx950,256,512,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_Token,1,0,32,0,511.294,_ZN5aiter48fmoe_bf16_pertokenFp8_g1u1_vs_silu_1tg_ps_32x192E,0.0%,0.0,,0.0%,511.294,1,0,0,302.41,4737.41,sqn12
gfx950,256,32768,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,32,0,13474.1338,_ZN5aiter43fmoe_bf16_blockscaleFp8_g1u1_vs_silu_32x384E,0.0%,0.0,,0.0%,13474.1338,1,0,0,734.41,209.18,sqn12
gfx950,256,16384,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,32,0,6469.1177,_ZN5aiter43fmoe_bf16_blockscaleFp8_g1u1_vs_silu_32x384E,0.0%,0.0,,0.0%,6469.1177,1,0,0,764.83,404.58,sqn12
gfx950,256,8192,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,32,0,3290.1856,_ZN5aiter43fmoe_bf16_blockscaleFp8_g1u1_vs_silu_32x384E,0.0%,0.0,,0.0%,3290.1856,1,0,0,751.9,764.88,sqn12
gfx950,256,512,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x128,1,0,32,0,561.1736,_ZN5aiter45fmoe_bf16_blockscaleFp8_g1u1_novs_silu_32x384E,0.0%,0.0,,0.0%,561.1736,1,0,0,275.53,4316.33,sqn12
gfx950,256,32768,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,5591.8914,flydsl_moe1_afp8_wfp8_bf16_t32x128x256_w2_bnt0_gui_fp8,0.0%,3465.0459,flydsl_moe2_afp8_wfp8_bf16_t32x128x256_atomic,0.0%,9056.9373,0,0,0,1092.6,311.21,sqn12
gfx950,256,16384,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,2802.3611,flydsl_moe1_afp8_wfp8_bf16_t32x128x256_w3_bnt0_gui_fp8,0.0%,1821.0089,flydsl_moe2_afp8_wfp8_bf16_t32x128x256_atomic_persist,0.0%,4623.37,0,0,0,1070.17,566.09,sqn12
gfx950,256,8192,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,1428.9343,flydsl_moe1_afp8_wfp8_bf16_t32x128x256_w4_bnt0_gui_fp8,0.0%,956.4534,flydsl_moe2_afp8_wfp8_bf16_t32x128x256_atomic,0.0%,2385.3877,0,0,0,1037.11,1055.0,sqn12
gfx950,256,512,4096,1536,128,8,ActivationType.Silu,torch.bfloat16,torch.float8_e4m3fn,torch.float8_e4m3fn,QuantType.per_1x32,1,0,32,0,300.7508,flydsl_moe1_afp8_wfp8_bf16_t32x64x256_w3_bnt0_gui_fp8,0.0%,162.1463,flydsl_moe2_afp8_wfp8_bf16_t32x128x256_atomic_persist,0.0%,462.8971,0,0,0,334.02,5232.72,sqn12
