Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,total_accelerators,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units,weight_data_types,design_power_watts,PrivateID
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","deepseek-r1","deepseek-r1","Offline","72327.1","exact_match: 80.9936189608022  TOKENS_PER_SAMPLE: 3803.4314038286234","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/deepseek-r1/Offline/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","deepseek-r1","deepseek-r1","Server","70771.7","exact_match: 80.76572470373746  TOKENS_PER_SAMPLE: 3851.8625797629898","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/deepseek-r1/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","gpt-oss-120b","gpt-oss-120b","Offline","111541.0","exact_match: 82.928","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/gpt-oss-120b/Offline/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","gpt-oss-120b","gpt-oss-120b","Server","110592.0","exact_match: 83.965","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/gpt-oss-120b/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","llama2-70b-99","llama2-70b-99","Offline","114826.0","ROUGE1: 44.8002  ROUGE2: 22.3763  ROUGEL: 29.1593  TOKENS_PER_SAMPLE: 272.5","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/llama2-70b-99/Offline/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","llama2-70b-99","llama2-70b-99","Server","114578.0","ROUGE1: 44.8817  ROUGE2: 22.4296  ROUGEL: 29.2316  TOKENS_PER_SAMPLE: 271.9","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/llama2-70b-99/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","llama2-70b-99.9","llama2-70b-99.9","Offline","114826.0","ROUGE1: 44.8002  ROUGE2: 22.3763  ROUGEL: 29.1593  TOKENS_PER_SAMPLE: 272.5","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/llama2-70b-99.9/Offline/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","llama2-70b-99.9","llama2-70b-99.9","Server","114578.0","ROUGE1: 44.8817  ROUGE2: 22.4296  ROUGEL: 29.2316  TOKENS_PER_SAMPLE: 271.9","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/llama2-70b-99.9/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","qwen3-vl-235b-a22b","qwen3-vl-235b-a22b","Interactive","53.179880921541226","0.7840356732353796","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/qwen3-vl-235b-a22b/Interactive/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","1","False","Queries/s","NVFP4 weights with FP8 KV cache","None",""
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","qwen3-vl-235b-a22b","qwen3-vl-235b-a22b","Offline","132.0547880616454","0.7875530423168103","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/qwen3-vl-235b-a22b/Offline/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","1","False","Samples/s","NVFP4 weights with FP8 KV cache","None",""
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","qwen3-vl-235b-a22b","qwen3-vl-235b-a22b","Server","128.20954076944818","0.7878815694661815","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/qwen3-vl-235b-a22b/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","1","False","Queries/s","NVFP4 weights with FP8 KV cache","None",""
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","wan-2.2-t2v-a14b","wan-2.2-t2v-a14b","Offline","0.0625123079679506","0.7048583781540092","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/wan-2.2-t2v-a14b/Offline/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","1","False","Samples/s","fp8","None",""
"GigaComputing","available","closed","datacenter","G894-ZD3-AAX7","G894-ZD3-AAX7_B300-SXM-270GBx8_TRT","wan-2.2-t2v-a14b","wan-2.2-t2v-a14b","SingleStream","18.051798671840277","0.6987459561814395","1","AMD EPYC 9575F","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission-staging/closed/GigaComputing/results/G894-ZD3-AAX7_B300-SXM-270GBx8_TRT/wan-2.2-t2v-a14b/SingleStream/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 22.04.4","B300 TGP 1100W","closed","0","v6.1","1","False","Latency (s)","fp8","None",""
