Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,total_accelerators,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units,weight_data_types,design_power_watts,PrivateID
"Inventec","available","closed","datacenter","Inventec P5800G7(LC) (8x B300-SXM-270GB, TensorRT)","P5800G7-B300-SXM-270GBx8_TRT","deepseek-r1","deepseek-r1","Offline","70269.6","exact_match: 81.22151321786691  TOKENS_PER_SAMPLE: 3748.471741112124","1","Intel(R) Xeon(R) 6787P","2","86","NVIDIA B300-SXM-270GB","8","8","build/submission/closed/Inventec/results/P5800G7-B300-SXM-270GBx8_TRT/deepseek-r1/Offline/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Inventec","available","closed","datacenter","Inventec P5800G7(LC) (8x B300-SXM-270GB, TensorRT)","P5800G7-B300-SXM-270GBx8_TRT","deepseek-r1","deepseek-r1","Server","57432.0","exact_match: 81.10756608933455  TOKENS_PER_SAMPLE: 3769.7967183226983","1","Intel(R) Xeon(R) 6787P","2","86","NVIDIA B300-SXM-270GB","8","8","build/submission/closed/Inventec/results/P5800G7-B300-SXM-270GBx8_TRT/deepseek-r1/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Inventec","available","closed","datacenter","Inventec P5800G7(LC) (8x B300-SXM-270GB, TensorRT)","P5800G7-B300-SXM-270GBx8_TRT","gpt-oss-120b","gpt-oss-120b","Offline","106280.0","exact_match: 83.856","1","Intel(R) Xeon(R) 6787P","2","86","NVIDIA B300-SXM-270GB","8","8","build/submission/closed/Inventec/results/P5800G7-B300-SXM-270GBx8_TRT/gpt-oss-120b/Offline/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Inventec","available","closed","datacenter","Inventec P5800G7(LC) (8x B300-SXM-270GB, TensorRT)","P5800G7-B300-SXM-270GBx8_TRT","gpt-oss-120b","gpt-oss-120b","Server","100299.0","exact_match: 83.423","1","Intel(R) Xeon(R) 6787P","2","86","NVIDIA B300-SXM-270GB","8","8","build/submission/closed/Inventec/results/P5800G7-B300-SXM-270GBx8_TRT/gpt-oss-120b/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Inventec","available","closed","datacenter","Inventec P5800G7(LC) (8x B300-SXM-270GB, TensorRT)","P5800G7-B300-SXM-270GBx8_TRT","llama2-70b-99","llama2-70b-99","Offline","109933.0","ROUGE1: 44.7871  ROUGE2: 22.3677  ROUGEL: 29.1429  TOKENS_PER_SAMPLE: 272.9","1","Intel(R) Xeon(R) 6787P","2","86","NVIDIA B300-SXM-270GB","8","8","build/submission/closed/Inventec/results/P5800G7-B300-SXM-270GBx8_TRT/llama2-70b-99/Offline/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Inventec","available","closed","datacenter","Inventec P5800G7(LC) (8x B300-SXM-270GB, TensorRT)","P5800G7-B300-SXM-270GBx8_TRT","llama2-70b-99","llama2-70b-99","Server","106617.0","ROUGE1: 44.8264  ROUGE2: 22.3815  ROUGEL: 29.1549  TOKENS_PER_SAMPLE: 272.1","1","Intel(R) Xeon(R) 6787P","2","86","NVIDIA B300-SXM-270GB","8","8","build/submission/closed/Inventec/results/P5800G7-B300-SXM-270GBx8_TRT/llama2-70b-99/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Inventec","available","closed","datacenter","Inventec P9000G7(AC) (8x B300-SXM-270GB, TensorRT)","P9000G7-B300-SXM-270GBx8_TRT","deepseek-r1","deepseek-r1","Offline","69062.2","exact_match: 81.13035551504102  TOKENS_PER_SAMPLE: 3743.316089334549","1","Intel(R) Xeon(R) 6767P","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission/closed/Inventec/results/P9000G7-B300-SXM-270GBx8_TRT/deepseek-r1/Offline/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Inventec","available","closed","datacenter","Inventec P9000G7(AC) (8x B300-SXM-270GB, TensorRT)","P9000G7-B300-SXM-270GBx8_TRT","deepseek-r1","deepseek-r1","Server","57517.4","exact_match: 80.62898814949864  TOKENS_PER_SAMPLE: 3774.6118960802187","1","Intel(R) Xeon(R) 6767P","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission/closed/Inventec/results/P9000G7-B300-SXM-270GBx8_TRT/deepseek-r1/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Inventec","available","closed","datacenter","Inventec P9000G7(AC) (8x B300-SXM-270GB, TensorRT)","P9000G7-B300-SXM-270GBx8_TRT","gpt-oss-120b","gpt-oss-120b","Offline","105617.0","exact_match: 83.550","1","Intel(R) Xeon(R) 6767P","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission/closed/Inventec/results/P9000G7-B300-SXM-270GBx8_TRT/gpt-oss-120b/Offline/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"Inventec","available","closed","datacenter","Inventec P9000G7(AC) (8x B300-SXM-270GB, TensorRT)","P9000G7-B300-SXM-270GBx8_TRT","gpt-oss-120b","gpt-oss-120b","Server","100300.0","exact_match: 83.799","1","Intel(R) Xeon(R) 6767P","2","64","NVIDIA B300-SXM-270GB","8","8","build/submission/closed/Inventec/results/P9000G7-B300-SXM-270GBx8_TRT/gpt-oss-120b/Server/performance/run_1","TensorRT 10.14, CUDA 13.1, cuDNN 9.17, TensorRT-LLM feat/1.2-mlpinf, NVIDIA Dynamo mlperf-v6.0-dynamo-v0.8.0, vLLM CentML:mlperf-inf-mm-q3vl-v6.0","Ubuntu 24.04","B300 TGP 1100W","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
