cell,cache_type,rows,embed_dim,dtype,distribution,n_keys,out_shape,bit_exact,mismatches,max_abs_diff,note
0,NoCache,4096,64,float16,uniform,1024,"(1024, 64)",1,0,0.0,
1,NoCache,4096,64,float16,zipf,1024,"(1024, 64)",1,0,0.0,
2,NoCache,4096,64,float16,sequential,1024,"(1024, 64)",1,0,0.0,
3,NoCache,4096,64,float16,hot_repeat,1024,"(1024, 64)",1,0,0.0,
4,NoCache,4096,64,float16,edges,1024,"(1024, 64)",1,0,0.0,
5,NoCache,4096,64,float32,uniform,1024,"(1024, 64)",1,0,0.0,
6,NoCache,4096,64,float32,zipf,1024,"(1024, 64)",1,0,0.0,
7,NoCache,4096,64,float32,sequential,1024,"(1024, 64)",1,0,0.0,
8,NoCache,4096,64,float32,hot_repeat,1024,"(1024, 64)",1,0,0.0,
9,NoCache,4096,64,float32,edges,1024,"(1024, 64)",1,0,0.0,
10,NoCache,4096,128,float16,uniform,1024,"(1024, 128)",1,0,0.0,
11,NoCache,4096,128,float16,zipf,1024,"(1024, 128)",1,0,0.0,
12,NoCache,4096,128,float16,sequential,1024,"(1024, 128)",1,0,0.0,
13,NoCache,4096,128,float16,hot_repeat,1024,"(1024, 128)",1,0,0.0,
14,NoCache,4096,128,float16,edges,1024,"(1024, 128)",1,0,0.0,
15,NoCache,4096,128,float32,uniform,1024,"(1024, 128)",1,0,0.0,
16,NoCache,4096,128,float32,zipf,1024,"(1024, 128)",1,0,0.0,
17,NoCache,4096,128,float32,sequential,1024,"(1024, 128)",1,0,0.0,
18,NoCache,4096,128,float32,hot_repeat,1024,"(1024, 128)",1,0,0.0,
19,NoCache,4096,128,float32,edges,1024,"(1024, 128)",1,0,0.0,
20,NoCache,4096,512,float16,uniform,1024,"(1024, 512)",1,0,0.0,
21,NoCache,4096,512,float16,zipf,1024,"(1024, 512)",1,0,0.0,
22,NoCache,4096,512,float16,sequential,1024,"(1024, 512)",1,0,0.0,
23,NoCache,4096,512,float16,hot_repeat,1024,"(1024, 512)",1,0,0.0,
24,NoCache,4096,512,float16,edges,1024,"(1024, 512)",1,0,0.0,
25,NoCache,4096,512,float32,uniform,1024,"(1024, 512)",1,0,0.0,
26,NoCache,4096,512,float32,zipf,1024,"(1024, 512)",1,0,0.0,
27,NoCache,4096,512,float32,sequential,1024,"(1024, 512)",1,0,0.0,
