Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,total_accelerators,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units,weight_data_types,design_power_watts,PrivateID
"AMD","available","closed","datacenter","8xMI350X_2xEPYC_9575F","8xMI350X_2xEPYC_9575F","dlrm-v3","dlrm-v3","Offline","10891.1","DLRM_NE: 0.8677294228203597  DLRM_ACC: 0.6964170290002015  DLRM_AUC: 0.7862871466027813","1","AMD EPYC 9575F","2","64","AMD Instinct MI350X 288GB HBM3e","8","8","./closed/AMD/results/8xMI350X_2xEPYC_9575F/dlrm-v3/Offline/performance/run_1","PyTorch 2.10.0+rocm7.2.3, Triton 3.6.0, ROCm 7.2.3","Ubuntu 24.04 LTS (Noble Numbat), kernel 6.8.0-38-generic","Measured on host smci350-rck-g03-d13-31: 8x AMD Instinct MI350X / 2x AMD EPYC 9575F (64 cores/socket, 2 sockets). Known-good host KMD floor: amdgpu 6.16.6 or newer.. DLRM-v3 ROCm b32 q7,250 GOLD stack (full-causal, C1-off) with degree-5 production gate and TEST08 determinism fixes; container dlrmv3-e2e723 (ROCm 7.2.3).","closed","0","v6.1","0","False","Samples/s","fp16,bf16,fp8","None",""
"AMD","available","closed","datacenter","8xMI350X_2xEPYC_9575F","8xMI350X_2xEPYC_9575F","dlrm-v3","dlrm-v3","Server","9297.78","DLRM_NE: 0.867728327062296  DLRM_ACC: 0.696416918732384  DLRM_AUC: 0.786287540637186","1","AMD EPYC 9575F","2","64","AMD Instinct MI350X 288GB HBM3e","8","8","./closed/AMD/results/8xMI350X_2xEPYC_9575F/dlrm-v3/Server/performance/run_1","PyTorch 2.10.0+rocm7.2.3, Triton 3.6.0, ROCm 7.2.3","Ubuntu 24.04 LTS (Noble Numbat), kernel 6.8.0-38-generic","Measured on host smci350-rck-g03-d13-31: 8x AMD Instinct MI350X / 2x AMD EPYC 9575F (64 cores/socket, 2 sockets). Known-good host KMD floor: amdgpu 6.16.6 or newer.. DLRM-v3 ROCm b32 q7,250 GOLD stack (full-causal, C1-off) with degree-5 production gate and TEST08 determinism fixes; container dlrmv3-e2e723 (ROCm 7.2.3).","closed","0","v6.1","0","False","Queries/s","fp16,bf16,fp8","None",""
"AMD","available","closed","datacenter","Quanta Grand Teton 1.5 MI350","8xMI350X_2xEPYC_9655","wan-2.2-t2v-a14b","text_to_video","Offline","0.0565013","vbench_score: 70.1221","1","AMD EPYC 9655","2","96","AMD Instinct MI350X 288GB HBM3e","8","8","./closed/AMD/results/8xMI350X_2xEPYC_9655/wan-2.2-t2v-a14b/Offline/performance/run_1","xDiT, xfuser 0.4.5, PyTorch 2.9.1+gitff65f5b, ROCm 7.13.0","Ubuntu 24.04.4 LTS","","closed","0","v6.1","0","False","Samples/s","bf16, fp8, fp4","None",""
"AMD","available","closed","datacenter","Quanta Grand Teton 1.5 MI350","8xMI350X_2xEPYC_9655","wan-2.2-t2v-a14b","text_to_video","SingleStream","20.603024726","vbench_score: 70.1582","1","AMD EPYC 9655","2","96","AMD Instinct MI350X 288GB HBM3e","8","8","./closed/AMD/results/8xMI350X_2xEPYC_9655/wan-2.2-t2v-a14b/SingleStream/performance/run_1","xDiT, xfuser 0.4.5, PyTorch 2.9.1+gitff65f5b, ROCm 7.13.0","Ubuntu 24.04.4 LTS","","closed","0","v6.1","0","False","Latency (s)","bf16, fp8, fp4","None",""
"AMD","available","closed","datacenter","smci355-ccs-aus-m13-13 (AS -4126GS-NMR-LCC)","8xMI355X_2xEPYC_9575F","dlrm-v3","dlrm-v3","Offline","13027.7","DLRM_NE: 0.8681176645656181  DLRM_ACC: 0.6963383089448092  DLRM_AUC: 0.7862169525257562","1","AMD EPYC 9575F","8","64","AMD Instinct MI355X 288GB HBM3e","8","8","./closed/AMD/results/8xMI355X_2xEPYC_9575F/dlrm-v3/Offline/performance/run_1","PyTorch 2.10.0+git8514f05, ROCm 7.2.2","Ubuntu 22.04.5 LTS","","closed","0","v6.1","0","False","Samples/s","fp16,bf16,fp8","None",""
"AMD","available","closed","datacenter","smci355-ccs-aus-m13-13 (AS -4126GS-NMR-LCC)","8xMI355X_2xEPYC_9575F","dlrm-v3","dlrm-v3","Server","12198.8","DLRM_NE: 0.8681164332983042  DLRM_ACC: 0.696331698458935  DLRM_AUC: 0.786212286822123","1","AMD EPYC 9575F","8","64","AMD Instinct MI355X 288GB HBM3e","8","8","./closed/AMD/results/8xMI355X_2xEPYC_9575F/dlrm-v3/Server/performance/run_1","PyTorch 2.10.0+git8514f05, ROCm 7.2.2","Ubuntu 22.04.5 LTS","","closed","0","v6.1","0","False","Queries/s","fp16,bf16,fp8","None",""
"AMD","available","closed","datacenter","smci355-ccs-aus-m13-13 (AS -4126GS-NMR-LCC)","8xMI355X_2xEPYC_9575F","gpt-oss-120b","gpt-oss-120b","Offline","121818.0","exact_match: 83.706","1","AMD EPYC 9575F","8","64","AMD Instinct MI355X 288GB HBM3e","8","8","./closed/AMD/results/8xMI355X_2xEPYC_9575F/gpt-oss-120b/Offline/performance/run_1","PyTorch 2.10.0+git8514f05, ROCm 7.2.2","Ubuntu 22.04.5 LTS","","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"AMD","available","closed","datacenter","smci355-ccs-aus-m13-13 (AS -4126GS-NMR-LCC)","8xMI355X_2xEPYC_9575F","gpt-oss-120b","gpt-oss-120b","Server","113241.0","exact_match: 83.451","1","AMD EPYC 9575F","8","64","AMD Instinct MI355X 288GB HBM3e","8","8","./closed/AMD/results/8xMI355X_2xEPYC_9575F/gpt-oss-120b/Server/performance/run_1","PyTorch 2.10.0+git8514f05, ROCm 7.2.2","Ubuntu 22.04.5 LTS","","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
"AMD","available","closed","datacenter","smci355-ccs-aus-m13-13 (AS -4126GS-NMR-LCC)","8xMI355X_2xEPYC_9575F","llama2-70b-99.9","llama2-70b-99.9","Interactive","73191.5","ROUGE1: 44.5125  ROUGE2: 22.1593  ROUGEL: 28.9205  TOKENS_PER_SAMPLE: 284.1","1","AMD EPYC 9575F","8","64","AMD Instinct MI355X 288GB HBM3e","8","8","./closed/AMD/results/8xMI355X_2xEPYC_9575F/llama2-70b-99.9/Interactive/performance/run_1","PyTorch 2.10.0+git8514f05, ROCm 7.2.2","Ubuntu 22.04.5 LTS","","closed","0","v6.1","1","False","Tokens/s","fp4","None",""
"AMD","available","closed","datacenter","smci355-ccs-aus-m13-13 (AS -4126GS-NMR-LCC)","8xMI355X_2xEPYC_9575F","llama2-70b-99.9","llama2-70b-99.9","Offline","106517.0","ROUGE1: 44.5481  ROUGE2: 22.1846  ROUGEL: 28.9482  TOKENS_PER_SAMPLE: 283.2","1","AMD EPYC 9575F","8","64","AMD Instinct MI355X 288GB HBM3e","8","8","./closed/AMD/results/8xMI355X_2xEPYC_9575F/llama2-70b-99.9/Offline/performance/run_1","PyTorch 2.10.0+git8514f05, ROCm 7.2.2","Ubuntu 22.04.5 LTS","","closed","0","v6.1","0","False","Tokens/s","fp4","None",""
